-183.838	0.308
-179.798	0.310
-175.758	0.334
-171.717	0.374
-167.677	0.426
-163.636	0.489
-159.596	0.569
-155.556	0.687
-151.515	0.865
-147.475	1.112
-143.434	1.400
-139.394	1.688
-135.354	1.991
-131.313	2.424
-127.273	2.940
-123.232	3.529
-119.192	4.144
-115.152	4.809
-111.111	5.623
-107.071	6.709
-103.030	8.055
-98.990	9.497
-94.949	11.108
-90.909	12.946
-86.869	16.392
-82.828	19.813
-78.788	23.893
-74.747	28.053
-70.707	32.305
-66.667	36.792
-62.626	41.585
-58.586	47.004
-54.545	52.813
-50.505	57.591
-46.465	60.601
-42.424	58.797
-38.384	53.297
-34.343	46.944
-30.303	41.634
-26.263	38.436
-22.222	37.857
-18.182	39.378
-14.141	42.948
-10.101	47.961
-6.061	54.256
-2.020	60.908
2.020	67.286
6.061	76.197
10.101	86.898
14.141	94.497
18.182	94.109
22.222	83.093
26.263	69.154
30.303	59.641
34.343	58.209
38.384	62.178
42.424	71.826
46.465	82.142
50.505	93.613
54.545	101.841
58.586	97.143
62.626	93.719
66.667	94.193
70.707	91.268
74.747	88.921
78.788	86.602
82.828	77.848
86.869	78.929
90.909	84.481
94.949	81.270
98.990	75.874
103.030	67.822
107.071	66.213
111.111	64.782
115.152	66.342
119.192	70.659
123.232	71.493
127.273	65.824
131.313	58.277
135.354	51.342
139.394	46.191
143.434	43.728
147.475	45.162
151.515	47.287
155.556	46.491
159.596	41.718
163.636	34.268
167.677	25.083
171.717	17.075
175.758	12.321
179.798	10.577
183.838	10.772
