-184.000	0.559
-180.000	0.557
-176.000	0.573
-172.000	0.600
-168.000	0.640
-164.000	0.694
-160.000	0.767
-156.000	0.860
-152.000	0.978
-148.000	1.128
-144.000	1.314
-140.000	1.542
-136.000	1.818
-132.000	2.158
-128.000	2.584
-124.000	3.138
-120.000	3.867
-116.000	4.815
-112.000	6.002
-108.000	7.406
-104.000	9.018
-100.000	10.844
-96.000	12.869
-92.000	15.047
-88.000	17.347
-84.000	19.867
-80.000	22.643
-76.000	26.266
-72.000	30.949
-68.000	36.723
-64.000	42.682
-60.000	47.427
-56.000	50.130
-52.000	50.595
-48.000	48.877
-44.000	48.405
-40.000	50.630
-36.000	49.640
-32.000	45.582
-28.000	38.991
-24.000	36.235
-20.000	37.338
-16.000	40.501
-12.000	44.903
-8.000	50.720
-4.000	58.180
0.000	66.744
4.000	71.753
8.000	70.638
12.000	69.890
16.000	68.959
20.000	66.860
24.000	60.289
28.000	59.030
32.000	57.181
36.000	59.934
40.000	64.918
44.000	69.969
48.000	72.199
52.000	79.936
56.000	87.987
60.000	90.399
64.000	86.393
68.000	78.497
72.000	74.999
76.000	74.862
80.000	75.907
84.000	75.846
88.000	71.807
92.000	68.645
96.000	65.641
100.000	61.068
104.000	55.807
108.000	51.831
112.000	50.368
116.000	51.185
120.000	53.835
124.000	57.312
128.000	59.091
132.000	57.530
136.000	55.627
140.000	53.012
144.000	50.361
148.000	48.790
152.000	44.636
156.000	39.630
160.000	35.236
164.000	31.596
168.000	28.534
172.000	26.048
176.000	23.795
180.000	21.735
184.000	19.957
